chave_importacao,ano_letivo,data,titulo,tipo,origem,descricao,numero_processo,documento_referencia,fonte_pagina,status
EE_SAO_JOSE_2026_JF_2026_02_03,2026,2026-02-03,Jornada Formativa com APC,JORNADA_FORMATIVA,ESCOLA,Jornada Formativa - dia letivo com APC.,29/090121/2022,"Calendário Escolar 2026 - EE São José - Anexo I da Resolução/SED nº 4490, de 2/12/2025 - Ata nº 14/2025",1,ATIVO
EE_SAO_JOSE_2026_JF_2026_02_04,2026,2026-02-04,Jornada Formativa com APC,JORNADA_FORMATIVA,ESCOLA,Jornada Formativa - dia letivo com APC.,29/090121/2022,"Calendário Escolar 2026 - EE São José - Anexo I da Resolução/SED nº 4490, de 2/12/2025 - Ata nº 14/2025",1,ATIVO
EE_SAO_JOSE_2026_JF_2026_02_05,2026,2026-02-05,Jornada Formativa com APC,JORNADA_FORMATIVA,ESCOLA,Jornada Formativa - dia letivo com APC.,29/090121/2022,"Calendário Escolar 2026 - EE São José - Anexo I da Resolução/SED nº 4490, de 2/12/2025 - Ata nº 14/2025",1,ATIVO
EE_SAO_JOSE_2026_JF_2026_02_06,2026,2026-02-06,Jornada Formativa com APC,JORNADA_FORMATIVA,ESCOLA,Jornada Formativa - dia letivo com APC.,29/090121/2022,"Calendário Escolar 2026 - EE São José - Anexo I da Resolução/SED nº 4490, de 2/12/2025 - Ata nº 14/2025",1,ATIVO
EE_SAO_JOSE_2026_EM_2026_04_20,2026,2026-04-20,Emenda de feriado com APC,EMENDA_FERIADO,ESCOLA,Emenda de feriado - dia letivo com APC.,29/090121/2022,"Calendário Escolar 2026 - EE São José - Anexo I da Resolução/SED nº 4490, de 2/12/2025 - Ata nº 14/2025",1,ATIVO
EE_SAO_JOSE_2026_CC_2026_04_30,2026,2026-04-30,Conselho de Classe com APC,CONSELHO_CLASSE,ESCOLA,"Conselho de Classe, lançamento da Média Bimestral Final e término de bimestre - dia letivo com APC.",29/090121/2022,"Calendário Escolar 2026 - EE São José - Anexo I da Resolução/SED nº 4490, de 2/12/2025 - Ata nº 14/2025",1,ATIVO
EE_SAO_JOSE_2026_JF_2026_05_09,2026,2026-05-09,Jornada Formativa com APC,JORNADA_FORMATIVA,ESCOLA,Jornada Formativa - dia letivo com APC.,29/090121/2022,"Calendário Escolar 2026 - EE São José - Anexo I da Resolução/SED nº 4490, de 2/12/2025 - Ata nº 14/2025",1,ATIVO
EE_SAO_JOSE_2026_CC_2026_07_16,2026,2026-07-16,Conselho de Classe com APC,CONSELHO_CLASSE,ESCOLA,"Conselho de Classe, lançamento da Média Bimestral Final e término de bimestre - dia letivo com APC.",29/090121/2022,"Calendário Escolar 2026 - EE São José - Anexo I da Resolução/SED nº 4490, de 2/12/2025 - Ata nº 14/2025",2,ATIVO
EE_SAO_JOSE_2026_JF_2026_08_04,2026,2026-08-04,Jornada Formativa com APC,JORNADA_FORMATIVA,ESCOLA,Jornada Formativa - dia letivo com APC.,29/090121/2022,"Calendário Escolar 2026 - EE São José - Anexo I da Resolução/SED nº 4490, de 2/12/2025 - Ata nº 14/2025",2,ATIVO
EE_SAO_JOSE_2026_JF_2026_08_05,2026,2026-08-05,Jornada Formativa com APC,JORNADA_FORMATIVA,ESCOLA,Jornada Formativa - dia letivo com APC.,29/090121/2022,"Calendário Escolar 2026 - EE São José - Anexo I da Resolução/SED nº 4490, de 2/12/2025 - Ata nº 14/2025",2,ATIVO
EE_SAO_JOSE_2026_JF_2026_08_06,2026,2026-08-06,Jornada Formativa com APC,JORNADA_FORMATIVA,ESCOLA,Jornada Formativa - dia letivo com APC.,29/090121/2022,"Calendário Escolar 2026 - EE São José - Anexo I da Resolução/SED nº 4490, de 2/12/2025 - Ata nº 14/2025",2,ATIVO
