chave,nome,sigla,modalidade,etapa,area_conhecimento,ordem,ativo
EF_AI_LP,Língua Portuguesa,LP,GERAL,EF_AI,LINGUAGENS,10,1
EF_AI_ARTE,Arte,ARTE,GERAL,EF_AI,LINGUAGENS,20,1
EF_AI_EDF,Educação Física,EDF,GERAL,EF_AI,LINGUAGENS,30,1
EF_AI_LI,Língua Inglesa,LI,GERAL,EF_AI,LINGUAGENS,40,1
EF_AI_LE,Língua Espanhola,LE,GERAL,EF_AI,LINGUAGENS,50,1
EF_AI_MAT,Matemática,MAT,GERAL,EF_AI,MATEMATICA,60,1
EF_AI_CIE,Ciências,CIE,GERAL,EF_AI,CIENCIAS_DA_NATUREZA,70,1
EF_AI_GEO,Geografia,GEO,GERAL,EF_AI,CIENCIAS_HUMANAS,80,1
EF_AI_HIS,História,HIS,GERAL,EF_AI,CIENCIAS_HUMANAS,90,1
EF_AI_ER,Ensino Religioso,ER,GERAL,EF_AI,ENSINO_RELIGIOSO,100,1
EF_AI_TVT,Terra – Vida – Trabalho,TVT,EDUCACAO_DO_CAMPO,EF_AI,EDUCACAO_DO_CAMPO,110,1
EF_AF_LP,Língua Portuguesa,LP,GERAL,EF_AF,LINGUAGENS,10,1
EF_AF_ARTE,Arte,ARTE,GERAL,EF_AF,LINGUAGENS,20,1
EF_AF_EDF,Educação Física,EDF,GERAL,EF_AF,LINGUAGENS,30,1
EF_AF_LI,Língua Inglesa,LI,GERAL,EF_AF,LINGUAGENS,40,1
EF_AF_LE,Língua Espanhola,LE,GERAL,EF_AF,LINGUAGENS,50,1
EF_AF_MAT,Matemática,MAT,GERAL,EF_AF,MATEMATICA,60,1
EF_AF_CIE,Ciências,CIE,GERAL,EF_AF,CIENCIAS_DA_NATUREZA,70,1
EF_AF_GEO,Geografia,GEO,GERAL,EF_AF,CIENCIAS_HUMANAS,80,1
EF_AF_HIS,História,HIS,GERAL,EF_AF,CIENCIAS_HUMANAS,90,1
EF_AF_ER,Ensino Religioso,ER,GERAL,EF_AF,ENSINO_RELIGIOSO,100,1
EF_AF_TVT,Terra – Vida – Trabalho,TVT,EDUCACAO_DO_CAMPO,EF_AF,EDUCACAO_DO_CAMPO,110,1
EM_LP,Língua Portuguesa,LP,GERAL,EM,LINGUAGENS,10,1
EM_ARTE,Arte,ARTE,GERAL,EM,LINGUAGENS,20,1
EM_EDF,Educação Física,EDF,GERAL,EM,LINGUAGENS,30,1
EM_LI,Língua Inglesa,LI,GERAL,EM,LINGUAGENS,40,1
EM_LE,Língua Espanhola,LE,GERAL,EM,LINGUAGENS,50,1
EM_MAT,Matemática,MAT,GERAL,EM,MATEMATICA,60,1
EM_FIS,Física,FIS,GERAL,EM,CIENCIAS_DA_NATUREZA,70,1
EM_QUI,Química,QUI,GERAL,EM,CIENCIAS_DA_NATUREZA,80,1
EM_BIO,Biologia,BIO,GERAL,EM,CIENCIAS_DA_NATUREZA,90,1
EM_GEO,Geografia,GEO,GERAL,EM,CIENCIAS_HUMANAS,100,1
EM_HIS,História,HIS,GERAL,EM,CIENCIAS_HUMANAS,110,1
EM_FIL,Filosofia,FIL,GERAL,EM,CIENCIAS_HUMANAS,120,1
EM_SOC,Sociologia,SOC,GERAL,EM,CIENCIAS_HUMANAS,130,1
EM_TVT,Terra – Vida – Trabalho,TVT,EDUCACAO_DO_CAMPO,EM,EDUCACAO_DO_CAMPO,140,1
