etapa,anos_series,tipo_associacao,componente,sigla,codigo,descricao,unidade_tematica,objeto_conhecimento,origem,escopo,fonte_documento,fonte_pagina
EF_AF,EF6|EF7,CURRICULAR,Arte,ARTE,MS.EF69AR00.n.09,"Pesquisar, conhecer a história mundial da dança, e seus diferentes estilos, transições de caráter ritualístico, folclórico, clássico, moderno, contemporâneo e outros, considerando as características da cultura folclórica e regional.",Dança,Contextos e práticas,CURRICULO_REFERENCIA_MS_EF_V1_10,CURRICULO_COMPLETO,CURRICULO_REFERENCIA_MS_EF_V1_10,337
EF_AF,EF6|EF7,CURRICULAR,Arte,ARTE,MS.EF69AR24.s.27,"Reconhecer e apreciar artistas e grupos de teatro brasileiros e estrangeiros de diferentes épocas, investigando os modos de criação, produção, divulgação, circulação e organização da atuação profissional em teatro.",Teatro,Contextos e práticas,CURRICULO_REFERENCIA_MS_EF_V1_10,CURRICULO_COMPLETO,CURRICULO_REFERENCIA_MS_EF_V1_10,342
EF_AF,EF6|EF7,CURRICULAR,Arte,ARTE,MS.EF69AR25.s.28,"Identificar e analisar diferentes estilos cênicos, contextualizando-os no tempo e no espaço de modo a aprimorar a capacidade de apreciação da estética teatral.",Teatro Unidades Temáticas,Contextos e práticas Objetos de Conhecimento,CURRICULO_REFERENCIA_MS_EF_V1_10,CURRICULO_COMPLETO,CURRICULO_REFERENCIA_MS_EF_V1_10,342
EF_AF,EF6|EF7,CURRICULAR,Arte,ARTE,MS.EF69AR35.s.38,"Identificar e manipular diferentes tecnologias e recursos digitais para acessar, apreciar, produzir, registrar e compartilhar práticas e repertórios artísticos, de modo reflexivo, ético e responsável.",Artes integradas,Arte e tecnologia,CURRICULO_REFERENCIA_MS_EF_V1_10,CURRICULO_COMPLETO,CURRICULO_REFERENCIA_MS_EF_V1_10,345
EF_AF,EF6|EF7|EF8|EF9,CURRICULAR,Arte,ARTE,MS.EF69AR00.n.16,"Discutir e desenvolver o senso crítico relativo às diferentes manifestações da dança existentes em diversos contextos, experimentando a prática colaborativa da dança individual e coletiva, vivenciando a sensação de pertencimento.",Dança,Processos de criação,CURRICULO_REFERENCIA_MS_EF_V1_10,CURRICULO_COMPLETO,CURRICULO_REFERENCIA_MS_EF_V1_10,339
EF_AF,EF6|EF7|EF8|EF9,CURRICULAR,Arte,ARTE,MS.EF69AR00.s.21,"Pesquisar e identificar manifestações musicais de caráter regional tais como: grupos, artistas, compositores, intérpretes, corais e outros.",Música,Contextos e práticas,CURRICULO_REFERENCIA_MS_EF_V1_10,CURRICULO_COMPLETO,CURRICULO_REFERENCIA_MS_EF_V1_10,340
EF_AF,EF6|EF7|EF8|EF9,CURRICULAR,Arte,ARTE,MS.EF69AR01.s.01,"Pesquisar, apreciar e analisar formas distintas das artes visuais tradicionais e contemporâneas, em obras de artistas brasileiros e estrangeiros de diferentes épocas e em diferentes matrizes estéticas e culturais, de modo a ampliar a experiência com diferentes contextos e práticas artístico-visuais e cultivar a percepção, o imaginário, a capacidade de simbolizar e o repertório imagético.",Artes visuais Unidades Temáticas,Contextos e práticas Objetos de Conhecimento,CURRICULO_REFERENCIA_MS_EF_V1_10,CURRICULO_COMPLETO,CURRICULO_REFERENCIA_MS_EF_V1_10,334
EF_AF,EF6|EF7|EF8|EF9,CURRICULAR,Arte,ARTE,MS.EF69AR02.s.02,"Pesquisar e analisar diferentes estilos visuais, contextualizando-os no tempo e no espaço.",Artes visuais,Contextos e práticas,CURRICULO_REFERENCIA_MS_EF_V1_10,CURRICULO_COMPLETO,CURRICULO_REFERENCIA_MS_EF_V1_10,335
EF_AF,EF6|EF7|EF8|EF9,CURRICULAR,Arte,ARTE,MS.EF69AR03.s.03,"Analisar situações nas quais as linguagens das artes visuais se integram às linguagens audiovisuais (cinema, animações, vídeos etc.), gráficas (capas de livros, ilustrações de textos diversos etc.), cenográficas, coreográficas, musicais etc.",Artes visuais,Contextos e práticas,CURRICULO_REFERENCIA_MS_EF_V1_10,CURRICULO_COMPLETO,CURRICULO_REFERENCIA_MS_EF_V1_10,335
EF_AF,EF6|EF7|EF8|EF9,CURRICULAR,Arte,ARTE,MS.EF69AR04.s.04,"Analisar os elementos constitutivos das artes visuais (ponto, linha, forma, direção, cor, tom, escala, dimensão, espaço, movimento etc.) na apreciação de diferentes produções artísticas.",Artes visuais Unidades Temáticas,Elementos da linguagem Objetos de Conhecimento,CURRICULO_REFERENCIA_MS_EF_V1_10,CURRICULO_COMPLETO,CURRICULO_REFERENCIA_MS_EF_V1_10,335
