etapa,anos_series,tipo_associacao,componente,sigla,codigo,descricao,unidade_tematica,objeto_conhecimento,origem,escopo,fonte_documento,fonte_pagina
EM,EM1,CURRICULAR,Arte,ARTE,MS.EM13LGG101,"Compreender e analisar processos de produção e circulação de discursos nas diferentes linguagens, para fazer escolhas fundamentadas em função de interesses pessoais e coletivos.",,Matrizes estéticas e culturais do período préhistórico e os diferentes modos pelos quais elas são revisitadas nos processos de produções artísticas na atualidade.,CURRICULO_REFERENCIA_MS_EM_V1_1,CURRICULO_COMPLETO,CURRICULO_REFERENCIA_MS_EM_V1_1,160
EM,EM1,CURRICULAR,Arte,ARTE,MS.EM13LGG101,"Compreender e analisar processos deprodução e circulação de discursos, nas diferentes linguagens, para fazer escolhas fundamentadas em função de interesses pessoais e coletivos.",,"Aspectos éticos, estéticos e políticos, em textos e produções artísticas e culturais no estado de Mato Grosso do Sul; Movimentos corporais relacionados à dança e à música em Mato Grosso do Sul.",CURRICULO_REFERENCIA_MS_EM_V1_1,CURRICULO_COMPLETO,CURRICULO_REFERENCIA_MS_EM_V1_1,175
EM,EM1,CURRICULAR,Arte,ARTE,MS.EM13LGG105,"Analisar e experimentar diversos processos de remidiação de produções multissemióticas, multimídia e transmídia,desenvolvendo diferentes modos de participação e intervenção social.",,"A influência estética do período Barroco na composição da fotografia na atualidade: retratos, cenas do cotidiano e imagens religiosas; Linguagens e",CURRICULO_REFERENCIA_MS_EM_V1_1,CURRICULO_COMPLETO,CURRICULO_REFERENCIA_MS_EM_V1_1,172
EM,EM1,CURRICULAR,Arte,ARTE,MS.EM13LGG201,"Utilizar as diversas linguagens (artísticas corporais e verbais) em diferentes contextos,valorizandoas como fenômeno social, cultural, histórico, variável, heterogêneo e sensível aos contextos de uso.",,,CURRICULO_REFERENCIA_MS_EM_V1_1,CURRICULO_COMPLETO,CURRICULO_REFERENCIA_MS_EM_V1_1,163
EM,EM1,CURRICULAR,Arte,ARTE,MS.EM13LGG604,"Relacionar as práticas artísticas às diferentes dimensões da vida social, cultural, política e econômica e identificar o processo de construção histórica dessas práticas.",,"Contextos de produção, circulação e recepção das produções e manifestações artísticas do Renascimento; Apreciação de aspectos éticos, estéticos e",CURRICULO_REFERENCIA_MS_EM_V1_1,CURRICULO_COMPLETO,CURRICULO_REFERENCIA_MS_EM_V1_1,169
EM,EM1,CURRICULAR,Arte,ARTE,MS.EM13LGG701,"Explorar Tecnologias Digitais da Informação e Comunicação (TDIC), compreendendo seus princípios e funcionalidades, e utilizá-las de modo ético, criativo, responsável e adequado a em diferentes contextos.",,"éticos, estéticos e políticos, em textos e produções artísticas e culturais.",CURRICULO_REFERENCIA_MS_EM_V1_1,CURRICULO_COMPLETO,CURRICULO_REFERENCIA_MS_EM_V1_1,169
EM,EM1|EM2,CURRICULAR,Arte,ARTE,MS.EM13LGG102,"Analisar visões do mundo, conflitos de interesse, preconceitos e ideologias presentes nos discursos veiculados nas diferentes mídias, ampliando suas possibilidades de explicação, interpretação e intervenção crítica da/na realidade.",,"As linguagens artísticas da arte africana, como forma de comunicação, fruição e problematização de grupos sociais e seus valores.",CURRICULO_REFERENCIA_MS_EM_V1_1,CURRICULO_COMPLETO,CURRICULO_REFERENCIA_MS_EM_V1_1,163
EM,EM2,CURRICULAR,Arte,ARTE,MS.EM13LGG101,"Compreender e analisar processos de produção e circulação de discursos, nas diferentes linguagens, para fazer escolhas fundamentadas em função de interesses pessoais e coletivos.",,"Materialidade de diferentes propostas de Arte, (desenho, pintura, colagem, quadrinhos, dobradura, escultura, modelagem, instalação), processos de criação individuais",CURRICULO_REFERENCIA_MS_EM_V1_1,CURRICULO_COMPLETO,CURRICULO_REFERENCIA_MS_EM_V1_1,181
EM,EM2,CURRICULAR,Arte,ARTE,MS.EM13LGG103,"Analisar o funcionamento das linguagens, para interpretar e produzir criticamente discursos em textos de diversas semioses (visuais, verbais, sonoras, gestuais).",,"Elementos, materialidades e processos de criação artísticos, musicais, textuais e corporais da Música no Brasil e da Música Popular Brasileira;",CURRICULO_REFERENCIA_MS_EM_V1_1,CURRICULO_COMPLETO,CURRICULO_REFERENCIA_MS_EM_V1_1,179
EM,EM2,CURRICULAR,Arte,ARTE,MS.EM13LGG301,"Participar de processos de produção individual e colaborativa em diferentes linguagens(artísticas, corporais e verbais), levando em conta suas formas e seus funcionamentos, para produzir sentidos em diferentes contextos.",,na Europa.,CURRICULO_REFERENCIA_MS_EM_V1_1,CURRICULO_COMPLETO,CURRICULO_REFERENCIA_MS_EM_V1_1,185
